Hamming,Manhattan,Mix,v0,v1
2,3,2.3,-1.19755,-5.09749
2,2,2.2,-0.602932,-5.56925
3,3,3.3,-0.00831291,-6.04101
3,10,3.1,1.72946,-4.13566
2,9,2.9,2.32408,-4.60742
3,8,3.8,2.9187,-5.07918
3,7,3.7,3.51332,-5.55094
2,6,2.6,4.10794,-6.0227
2,5,2.5,4.70256,-6.49446
2,9,2.9,0.891833,-4.35599
2,8,2.8,1.48645,-4.82775
2,7,2.7,2.08107,-5.29951
2,6,2.6,2.67569,-5.77127
1,5,1.5,3.27031,-6.24303
1,4,1.4,3.86493,-6.71479
3,8,3.8,0.0542021,-4.57633
2,7,2.7,0.648821,-5.04809
3,6,3.6,1.24344,-5.51985
3,5,3.5,1.83806,-5.99161
2,4,2.4,2.43268,-6.46337
2,3,2.3,3.0273,-6.93513
3,7,3.7,-0.783429,-4.79666
2,6,2.6,-0.188811,-5.26842
3,5,3.5,0.405808,-5.74018
3,4,3.4,1.00043,-6.21194
2,3,2.3,1.59505,-6.6837
2,2,2.2,2.18966,-7.15546
2,6,2.6,-1.62106,-5.017
1,5,1.5,-1.02644,-5.48876
2,4,2.4,-0.431823,-5.96052
2,3,2.3,0.162795,-6.43228
2,2,2.2,0.757414,-6.90404
1,1,1.1,1.35203,-7.3758
2,5,2.5,-2.45869,-5.23733
1,4,1.4,-1.86407,-5.70909
2,3,2.3,-1.26945,-6.18085
2,2,2.2,-0.674836,-6.65261
1,1,1.1,-0.0802173,-7.12437
2,2,2.2,0.514401,-7.59613
3,9,3.9,2.25218,-5.69078
2,8,2.8,2.8468,-6.16254
3,7,3.7,3.44142,-6.6343
2,6,2.6,4.03603,-7.10606
3,5,3.5,4.63065,-7.57782
2,4,2.4,5.22527,-8.04958
2,8,2.8,1.41455,-5.91111
2,7,2.7,2.00917,-6.38287
2,6,2.6,2.60378,-6.85463
1,5,1.5,3.1984,-7.32639
2,4,2.4,3.79302,-7.79815
1,3,1.3,4.38764,-8.26991
3,7,3.7,0.576916,-6.13145
2,6,2.6,1.17153,-6.60321
3,5,3.5,1.76615,-7.07497
2,4,2.4,2.36077,-7.54673
3,3,3.3,2.95539,-8.01849
2,2,2.2,3.55001,-8.49025
2,6,2.6,-0.260715,-6.35178
1,5,1.5,0.333904,-6.82354
2,4,2.4,0.928522,-7.2953
2,3,2.3,1.52314,-7.76706
2,2,2.2,2.11776,-8.23882
1,1,1.1,2.71238,-8.71058
3,5,3.5,-1.09835,-6.57212
2,4,2.4,-0.503728,-7.04388
3,3,3.3,0.090891,-7.51564
2,2,2.2,0.68551,-7.9874
3,3,3.3,1.28013,-8.45916
2,2,2.2,1.87475,-8.93092
2,4,2.4,-1.93598,-6.79245
1,3,1.3,-1.34136,-7.26421
2,2,2.2,-0.74674,-7.73597
1,1,1.1,-0.152122,-8.20773
2,2,2.2,0.442497,-8.67949
2,3,2.3,1.03712,-9.15125
3,8,3.8,2.77489,-7.2459
2,7,2.7,3.36951,-7.71766
3,6,3.6,3.96413,-8.18942
2,5,2.5,4.55875,-8.66118
2,4,2.4,5.15337,-9.13294
3,5,3.5,5.74799,-9.6047
2,7,2.7,1.93726,-7.46623
2,6,2.6,2.53188,-7.93799
2,5,2.5,3.1265,-8.40975
1,4,1.4,3.72112,-8.88151
1,3,1.3,4.31574,-9.35327
2,4,2.4,4.91036,-9.82503
3,6,3.6,1.09963,-7.68657
2,5,2.5,1.69425,-8.15833
3,4,3.4,2.28887,-8.63009
2,3,2.3,2.88349,-9.10185
2,2,2.2,3.47811,-9.57361
3,3,3.3,4.07272,-10.0454
2,5,2.5,0.261999,-7.9069
1,4,1.4,0.856618,-8.37866
2,3,2.3,1.45124,-8.85042
2,2,2.2,2.04586,-9.32218
1,1,1.1,2.64047,-9.79394
2,2,2.2,3.23509,-10.2657
2,4,2.4,-0.575632,-8.12724
1,3,1.3,0.0189866,-8.599
2,2,2.2,0.613605,-9.07076
1,1,1.1,1.20822,-9.54252
2,2,2.2,1.80284,-10.0143
2,3,2.3,2.39746,-10.486
3,5,3.5,-1.41326,-8.34757
2,4,2.4,-0.818645,-8.81933
3,3,3.3,-0.224026,-9.29109
2,2,2.2,0.370593,-9.76285
2,3,2.3,0.965211,-10.2346
3,4,3.4,1.55983,-10.7064
4,12,4.12,0.241983,0.794548
3,11,3.11,0.836602,0.322788
3,10,3.1,1.43122,-0.148972
4,9,4.9,2.02584,-0.620731
3,8,3.8,2.62046,-1.09249
3,7,3.7,3.21508,-1.56425
3,11,3.11,-0.595648,0.574213
3,10,3.1,-0.00102966,0.102454
2,9,2.9,0.593589,-0.369306
3,8,3.8,1.18821,-0.841066
2,7,2.7,1.78283,-1.31283
2,6,2.6,2.37744,-1.78459
3,10,3.1,-1.43328,0.353879
2,9,2.9,-0.838661,-0.117881
3,8,3.8,-0.244042,-0.589641
3,7,3.7,0.350576,-1.0614
2,6,2.6,0.945195,-1.53316
2,5,2.5,1.53981,-2.00492
4,9,4.9,-2.27091,0.133544
3,8,3.8,-1.67629,-0.338216
3,7,3.7,-1.08167,-0.809976
4,6,4.6,-0.487055,-1.28174
3,5,3.5,0.107564,-1.7535
3,4,3.4,0.702182,-2.22526
3,8,3.8,-3.10854,-0.086791
2,7,2.7,-2.51392,-0.558551
2,6,2.6,-1.9193,-1.03031
3,5,3.5,-1.32469,-1.50207
3,4,3.4,-0.730068,-1.97383
2,3,2.3,-0.135449,-2.44559
3,7,3.7,-3.94617,-0.307126
2,6,2.6,-3.35155,-0.778886
2,5,2.5,-2.75694,-1.25065
3,4,3.4,-2.16232,-1.72241
2,3,2.3,-1.5677,-2.19417
3,4,3.4,-0.97308,-2.66593
3,11,3.11,0.764697,-0.760571
3,10,3.1,1.35932,-1.23233
2,9,2.9,1.95393,-1.70409
3,8,3.8,2.54855,-2.17585
2,7,2.7,3.14317,-2.64761
2,6,2.6,3.73779,-3.11937
3,10,3.1,-0.072934,-0.980906
3,9,3.9,0.521685,-1.45267
2,8,2.8,1.1163,-1.92443
3,7,3.7,1.71092,-2.39619
2,6,2.6,2.30554,-2.86795
2,5,2.5,2.90016,-3.33971
2,9,2.9,-0.910565,-1.20124
2,8,2.8,-0.315947,-1.673
2,7,2.7,0.278672,-2.14476
2,6,2.6,0.873291,-2.61652
1,5,1.5,1.46791,-3.08828
1,4,1.4,2.06253,-3.56004
3,8,3.8,-1.7482,-1.42158
3,7,3.7,-1.15358,-1.89334
2,6,2.6,-0.558959,-2.3651
3,5,3.5,0.0356592,-2.83686
2,4,2.4,0.630278,-3.30862
2,3,2.3,1.2249,-3.78038
2,7,2.7,-2.58583,-1.64191
2,6,2.6,-1.99121,-2.11367
1,5,1.5,-1.39659,-2.58543
2,4,2.4,-0.801972,-3.05719
2,3,2.3,-0.207353,-3.52895
1,2,1.2,0.387265,-4.00071
2,6,2.6,-3.42346,-1.86225
2,5,2.5,-2.82884,-2.33401
1,4,1.4,-2.23422,-2.80577
